id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,"price_change_percentage_24h",market_cap_change_24h,"market_cap_change_percentage_24h",circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,"https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579",23408,451799420301,1,491489235654,29246141846,23868,23174,-302.70280400599586,-1.27663,-5.656811185874329E9,-1.23658,1.9304162E7,2.1E7,2.1E7,69045,-66.10279,2021-11-10T14:24:11.849Z,67.81,34414.96013,2013-07-06T00:00:00.000Z,,2023-02-28T13:49:56.459Z
ethereum,eth,Ethereum,"https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880",1632.66,196787410055,2,196787410055,7584357500,1665.47,1615.25,-28.703451269454263,-1.72771,-3.685699860476227E9,-1.8385,1.20481573751852E8,1.20481573751852E8,,4878.26,-66.51796,2021-11-10T14:24:19.604Z,0.432979,377133.49506,2015-10-20T00:00:00.000Z,,
